sent_id	left_context	pivot	right_context
dev-s1		Manasse	 ist ein einzigartiger Parfümeur. 
dev-s13	Danke für den schönen Urlaub in 	Mecklenburg	 Vorpommern, wir haben ihn sehr genossen. 
dev-s14	7 Tage Erholung im Ferienhaus am Müritz See in einer idyllischen Landschaft inmitten der 	Mecklenburgischen	 Seenplatte. 
dev-s21	Das man so nett und freundlich mit Kunden umgeht bin ich in 	Helmstedt	 eigentlich nicht gewohnt. 
dev-s46		Sibille	 und Klaus Arnezeder betreiben das Wikingerdorf mit viel Engagement und verdienen meiner Meinung nach 5 Sterne für die Idee und die Umsetzung 
dev-s55	Mit scheint, dass der Betreiber der Rheinfähre in 	Düsseldorf	 es bitter nötig haben muss wenn schon Kinder unter fünf Jahren auf diese Art und Weise abkassiert werden müssen. 
dev-s57	Versuchen Sie mal am Wochenende eine späte Rückfahrt für alle Kaiserswerth Besucher aus 	Meerbusch	 aufzustellen. 
dev-s67	Wurde sehr gut von der Kanzlei 	Singewald	 verteitigt und gewonnen. 
dev-s69	Für mich die Anwaltskanzlei Nummer EINS in 	Dresden	. 
dev-s74	Möbel 	Boss	 ist mittlerweile echt teuer und das Material lässt zu wünschen übrig. 
dev-s76	Von mir also keine gute Bewertung für 	MöBo	. 
dev-s77	Mit meinem Hund war ich einige Male bei Herrn 	Wienrich	 in der Praxis, habe ihn aber persönlich nie dort gesehen. 
dev-s80	Ganz anders als in 	Zepernick	. 
dev-s89	Ich habe zwei Nächte im Hotel "	Ladenmühle	" verbracht und war mehr als angenehm überrascht. 
dev-s95	Was soll ich sagen es scheint schlecht um das gute alte Vinyl zu stehen, denn immer mehr Plattenläden haben in letzter Zeit in 	Köln	 geschlossen. 
dev-s96	Aber es gibt ein Licht am Ende des Tunnels und das ist 	Drake	 records. 
dev-s97	Ich beschäftigte mich seit 15 Jahren mit Musik, aber wenn ich mich mit dem Beistzer 	Dirk	 unterhalte lernen ich immer wieder was dazu und stoße auf geniale Scheiben. 
dev-s101	Im letzten Jahr, bin ich auf die Hompepage von Frau 	Rübben	 gestoßen und habe dann auch direkt einen Termin gemacht. 
dev-s107	Wenn spontan Appetit aufkommt, ist das "	White	 House" immer meine erste Wahl. 
dev-s115	Liebe Grüße Lutz und 	Heike	 
dev-s115	Liebe Grüße 	Lutz	 und Heike 
dev-s123	Wir haben unsere Küche jetzt seit 	Juni	 2011 und sind hellauf begeistert. 
